Sensor,X,Y,Z
2,1.34,-9.73,0.727
0,195.8125,76.953125,12.5625
4,49.66421,,
1,-33.911606,18.419006,
3,0,,
2,2.719,-9.96,1.417
0,196.67188,75.125,13.421875
4,49.714825,,
1,-33.911606,18.419006,
3,0,,
2,2.336,-9.692,0.689
0,190.51563,78.25,8.21875
4,67.66481,,
1,-33.911606,18.419006,
3,0,,
2,1.034,-9.96,0.268
0,190.21875,82.15625,7.578125
4,59.238255,,
1,-33.911606,18.419006,
3,0,,
2,0.881,-10.113,0.498
0,212.34375,62.734375,27.25
4,54.419975,,
1,-33.911606,18.419006,
3,0,,
2,5.631,-7.393,0.191
0,237.65625,40.859375,48.59375
4,46.759342,,
1,-33.911606,18.419006,
3,0,,
2,7.853,-6.435,1.417
0,275.48438,-13.765625,38.53125
4,45.03508,,
1,-33.911606,18.419006,
3,8,,
2,2.221,3.332,6.818
0,348.95313,-31.828125,0.859375
4,44.987648,,
1,-33.911606,18.419006,
3,9,,
2,0.574,4.52,8.657
0,330.29688,-26.984375,7.578125
4,43.259457,,
1,-33.911606,18.419006,
3,8,,
2,1.647,4.213,8.657
0,0.171875,-17.234375,-4.234375
4,43.974983,,
1,-33.911606,18.419006,
3,39,,
2,-1.11,1.034,8.964
0,340.9375,-19.140625,-0.21875
4,44.821007,,
1,-33.911606,18.419006,
3,11,,
2,-0.038,3.447,8.887
0,346.42188,-17.890625,-1.65625
4,44.285973,,
1,-33.911606,18.419006,
3,15,,
2,-0.038,2.873,9.117
0,344.67188,-18.40625,-0.734375
4,42.975636,,
1,-33.911606,18.419006,
3,14,,
2,-0.153,2.911,9.232
0,340.67188,-18.5,-0.90625
4,45.09067,,
1,-33.911606,18.419006,
3,12,,
2,-0.191,3.179,9.04
4,41.958473,,
0,1.65625,-24.921875,-4.4375
3,11,,
1,-33.911606,18.419006,
2,-0.114,4.022,8.389
0,349.0625,-21.078125,-1.59375
4,44.165848,,
1,-33.911606,18.419006,
3,11,,
2,-0.421,3.217,8.887
0,353.0625,-17.484375,-2.625
4,47.126266,,
1,-33.911606,18.419006,
3,14,,
2,-0.421,2.834,9.117
0,348.84375,-16.25,-1.875
4,49.29328,,
1,-33.911606,18.419006,
3,16,,
2,-0.383,2.719,9.155
0,347.34375,-16.421875,-1.828125
4,45.970936,,
1,-33.911606,18.419006,
3,14,,
2,-0.459,2.643,9.232
0,346.57813,-15.90625,-1.828125
4,47.278046,,
1,-33.911606,18.419006,
3,15,,
2,-0.306,2.604,9.194
0,342.35938,-17.421875,-0.453125
4,45.462204,,
1,-33.911606,18.419006,
3,12,,
2,0.229,3.026,9.194
0,346.42188,-22.921875,0.046875
4,45.15629,,
1,-33.911606,18.419006,
3,9,,
2,0.114,3.792,8.81
0,338.07813,-23.265625,2.765625
4,45.534397,,
1,-33.911606,18.419006,
3,7,,
2,1.302,4.099,8.581
0,262.42188,-1.046875,69.359375
4,48.76385,,
1,-33.911606,18.419006,
3,5,,
2,10.228,-0.498,1.417
0,261.14063,9.671875,73.984375
4,42.825825,,
1,-33.911606,18.419006,
3,98,,
2,15.17,-6.704,5.056
0,237.26563,40.203125,46.109375
4,43.734715,,
1,-33.911606,18.419006,
3,77,,
2,7.048,-4.137,7.814
0,243.64063,26.09375,46.71875
4,47.59439,,
1,-33.911606,18.419006,
2,8.312,-3.332,3.945
3,58,,
0,252.54688,19.46875,56.125
4,48.122322,,
1,-33.911606,18.419006,
3,15,,
2,8.121,-2.988,5.248
0,261.17188,4.328125,63.21875
4,58.82708,,
1,-33.911606,18.419006,
3,9,,
2,11.645,2.413,4.137
0,328.45313,-64.03125,25.0625
4,62.400032,,
1,-33.911606,18.419006,
3,12,,
2,0.957,7.24,0.038
0,319.78125,-58.15625,30.203125
4,48.34619,,
1,-33.911606,18.419006,
3,33,,
2,7.393,7.968,3.601
0,289.96875,-31.953125,44.203125
4,64.31611,,
1,-33.911606,18.419006,
3,93,,
2,6.589,4.405,5.286
0,287.89063,-31.078125,45.90625
4,48.128387,,
1,-33.911606,18.419006,
3,86,,
2,7.355,5.209,5.439
0,287.07813,-33.46875,49.203125
4,50.27498,,
1,-33.911606,18.419006,
3,81,,
2,8.006,5.861,1.723
0,9.328125,-64,-9.734375
4,54.94448,,
1,-33.911606,18.419006,
3,41,,
2,-4.022,11.837,2.413
0,347.0625,-75.625,9.53125
4,69.58519,,
1,-33.911606,18.419006,
3,45,,
2,0.766,9.998,-0.268
0,307.89063,-50.84375,38.828125
4,58.390675,,
1,-33.911606,18.419006,
3,11,,
2,7.431,8.619,-5.478
0,315.39063,-53.765625,32.0625
4,59.368652,,
1,-33.911606,18.419006,
3,0,,
2,4.022,10.228,-1.8
0,317.14063,-58.375,31.1875
4,54.38476,,
1,-33.911606,18.419006,
3,0,,
2,4.75,8.619,-0.612
0,334.92188,-68.90625,20.40625
4,53.120632,,
1,-33.911606,18.419006,
3,3,,
2,-2.988,7.431,-4.099
0,355.71875,-78.6875,1.734375
4,62.910233,,
1,-33.911606,18.419006,
3,2,,
2,0.306,9.232,4.673
0,307.32813,-48.390625,35.578125
4,48.10841,,
1,-33.911606,18.419006,
3,4,,
2,6.32,2.758,9.768
0,311.28125,-53.890625,35.890625
4,49.47523,,
1,-33.911606,18.419006,
3,9,,
2,8.504,5.248,3.677
0,269.14063,-19.484375,70.453125
4,47.601105,,
1,-33.911606,18.419006,
3,8,,
2,9.347,4.367,2.298
0,277.32813,-29.34375,60.640625
4,49.77935,,
1,-33.911606,18.419006,
3,8,,
2,8.121,1.494,1.11
0,200.03125,24.75,10.109375
4,44.046604,,
1,-33.911606,18.419006,
3,17,,
2,2.145,-4.367,9.423
0,277.53125,-16.09375,40.828125
4,51.984737,,
1,-33.911606,18.419006,
3,9,,
2,7.929,-0.268,-3.677
