Sensor,X,Y,Z
4,60.91755,,
3,0,,
1,-33.91513,18.418219,
2,0.727,-7.125,-2.298
0,194.65625,58.328125,10.609375
4,63.965714,,
1,-33.915142,18.418224,
3,0,,
2,0.881,-8.734,-3.217
0,207.1875,54.796875,22.890625
4,63.61616,,
1,-33.915154,18.41822,
3,0,,
2,5.554,-8.466,-0.881
0,205.92188,50.515625,22.140625
4,65.236725,,
1,-33.915165,18.418211,
3,0,,
2,3.102,-9.347,-2.413
0,188.95313,61.140625,6.796875
4,58.12572,,
2,-0.306,-9.5,-4.52
3,0,,
1,-33.915165,18.418211,
0,193.10938,63.84375,10.578125
4,62.557728,,
1,-33.91517,18.418203,
2,2.183,-7.202,-5.209
3,0,,
0,186.4375,68.703125,3.84375
4,65.78236,,
1,-33.915173,18.4182,
3,0,,
2,0.536,-8.581,-4.597
0,216.5625,44.140625,29.578125
4,73.458885,,
1,-33.91518,18.418192,
2,6.78,-21.682,-7.738
3,0,,
0,197.45313,68.703125,15.578125
4,66.78948,,
1,-33.915188,18.418175,
3,0,,
2,-1.379,-13.063,-2.26
0,183.53125,69,1.4375
4,66.5901,,
1,-33.915195,18.418158,
3,0,,
2,3.179,-11.147,-4.75
0,184.15625,78.1875,0.09375
4,70.583206,,
1,-33.915203,18.418142,
3,0,,
2,4.405,-14.94,-3.141
4,69.89891,,
1,-33.915215,18.41813,
3,0,,
2,-2.03,-14.595,-5.861
0,180.15625,71.90625,-2.828125
0,182.0625,74.84375,-1.265625
4,70.73894,,
1,-33.915226,18.418118,
3,0,,
2,2.604,-11.99,-3.677
0,183.03125,70.140625,0
4,69.38187,,
1,-33.915234,18.418114,
3,0,,
2,2.221,-13.216,-5.707
0,192.59375,69.234375,9.53125
4,69.281395,,
1,-33.915245,18.41811,
3,0,,
2,-2.758,-12.258,-8.581
0,220.29688,51.703125,34.375
4,65.64303,,
1,-33.915245,18.418104,
3,2,,
2,2.298,-6.933,-1.685
0,207.73438,51.078125,22.359375
4,73.315315,,
1,-33.91525,18.418108,
3,0,,
2,0.344,-6.359,-2.413
0,208.34375,46.6875,21.40625
4,68.66155,,
1,-33.915257,18.418112,
3,0,,
2,2.988,-9.04,-4.558
0,206.79688,45.390625,19.171875
4,69.29294,,
1,-33.915268,18.41811,
3,0,,
2,5.056,-8.696,-1.877
0,200.625,58.28125,16.34375
4,70.52111,,
1,-33.91528,18.418116,
3,0,,
2,3.792,-9.462,-8.619
0,202.09375,59.375,17.703125
4,72.54796,,
1,-33.915283,18.41812,
3,0,,
2,0.612,-10.764,-12.182
0,190,62.078125,5.203125
4,73.82279,,
1,-33.915295,18.41812,
3,0,,
2,1.685,-5.516,-3.102
0,190.26563,57.078125,3.78125
4,70.62076,,
1,-33.915302,18.41813,
3,0,,
2,1.877,-4.022,-4.022
0,191.1875,66.890625,6.03125
4,68.2079,,
1,-33.91531,18.418137,
3,1,,
2,3.217,-5.439,-2.183
0,187.64063,65.390625,2.359375
4,68.57912,,
1,-33.91532,18.418139,
3,1,,
2,3.83,-9.194,-3.141
0,191.98438,68.671875,6.65625
4,69.83687,,
1,-33.915333,18.418144,
3,1,,
2,-0.842,-11.492,-8.542
0,195.3125,63.9375,11.390625
4,67.530495,,
1,-33.915344,18.418148,
3,0,,
2,1.187,-9.577,-4.367
0,197.48438,53.78125,12.984375
4,67.041435,,
1,-33.91536,18.41816,
3,2,,
2,0.881,-5.976,-1.417
0,195.8125,57.1875,11.6875
4,69.45806,,
1,-33.91537,18.418173,
3,2,,
2,0.459,-5.669,-2.03
0,202.60938,51,16.875
4,76.43629,,
1,-33.915386,18.418188,
3,1,,
2,2.26,-7.431,-3.486
0,201.84375,49.953125,15.5625
4,68.88953,,
1,-33.915398,18.418207,
3,0,,
2,2.298,-9.5,-3.026
0,203.29688,47.90625,16.671875
4,68.42766,,
1,-33.91541,18.418213,
3,0,,
2,2.758,-9.615,-2.604
0,204.35938,43.953125,16.71875
4,67.84383,,
1,-33.91542,18.418226,
3,0,,
2,4.75,-10.917,-3.639
0,202.04688,43.703125,14.796875
4,69.17248,,
1,-33.915432,18.418245,
3,2,,
2,5.937,-10.841,-2.758
0,199.98438,52.34375,14.03125
4,68.88386,,
1,-33.915443,18.41826,
3,0,,
2,7.202,-9.308,-3.141
0,199.34375,52.359375,13.609375
4,70.82947,,
1,-33.91546,18.418276,
3,2,,
2,1.877,-9.423,-9.538
0,204.15625,52.609375,17.921875
4,65.47923,,
1,-33.915474,18.418287,
3,0,,
2,2.413,-10.036,-12.526
0,187.3125,63.984375,2.9375
4,62.553387,,
1,-33.915485,18.418303,
3,1,,
2,0.957,-7.47,-1.838
0,186.10938,68.828125,2.765625
4,70.64156,,
1,-33.915497,18.418322,
3,0,,
2,4.367,-8.312,-1.647
0,180.95313,72.671875,-1.65625
4,67.48937,,
1,-33.91551,18.418335,
3,0,,
2,-0.191,-12.143,-5.976
0,190.17188,70.15625,8.484375
4,67.592674,,
1,-33.91552,18.418354,
3,0,,
2,-2.03,-14.174,-5.248
0,205.375,59.40625,22.828125
4,64.97353,,
3,0,,
1,-33.915527,18.418367,
2,1.762,-8.887,-1.877
0,196.20313,61.15625,14.046875
4,65.165276,,
1,-33.91554,18.41838,
3,0,,
2,0.344,-8.274,-2.604
0,198.25,51.453125,15.015625
4,65.438545,,
1,-33.915546,18.418385,
3,0,,
2,4.597,-7.891,-2.681
4,69.728516,,
1,-33.915554,18.41839,
3,0,,
2,2.106,-8.925,-10.803
0,199.73438,55.28125,16.09375
0,192.57813,63.578125,10.328125
4,67.265335,,
1,-33.91556,18.418394,
3,0,,
2,2.988,-5.171,-1.915
0,187.21875,69.953125,5.546875
4,72.97547,,
1,-33.915573,18.418394,
3,0,,
2,5.248,-6.091,-2.068
0,180.64063,70.296875,-0.71875
4,69.860435,,
1,-33.91558,18.418398,
3,0,,
2,3.639,-9.653,-3.601
0,182.48438,65.65625,1.328125
4,68.84603,,
1,-33.91559,18.418402,
3,0,,
2,-0.459,-12.603,-7.278
0,198.51563,58.46875,17.09375
4,63.08899,,
1,-33.9156,18.418406,
3,0,,
2,1.11,-7.585,-2.068
0,195.89063,51.84375,13.640625
4,70.14715,,
1,-33.915607,18.418407,
3,0,,
2,3.294,-6.933,-1.723
0,175.64063,70.5625,-5.03125
4,70.448616,,
1,-33.91562,18.41841,
3,0,,
2,0.536,-9.155,-2.873
0,185.875,69.703125,4.609375
4,72.135925,,
1,-33.915627,18.418415,
3,0,,
2,1.532,-9.883,-4.213
0,192.9375,65.203125,12.09375
4,65.29064,,
1,-33.915634,18.418419,
2,0.038,-9.27,-2.988
3,0,,
0,185,57.8125,3.671875
4,65.80459,,
1,-33.91564,18.41842,
3,0,,
2,1.302,-8.581,-5.593
0,183.76563,64.71875,2.703125
4,71.80636,,
1,-33.915653,18.418425,
3,0,,
2,0.114,-9.194,-4.482
0,183.85938,62.78125,2.640625
4,63.486214,,
1,-33.91566,18.418428,
3,0,,
2,1.187,-9.347,-4.443
0,181.85938,65.484375,0.921875
4,68.54554,,
1,-33.91567,18.418432,
3,0,,
2,0.153,-9.04,-3.639
0,179.32813,70.359375,-1.765625
4,70.27328,,
1,-33.91568,18.418434,
3,0,,
2,4.788,-8.619,-3.371
0,187.92188,63.59375,6.734375
4,68.99692,,
1,-33.915688,18.41844,
3,0,,
2,1.455,-9.155,-4.367
0,195.59375,50.578125,12.84375
4,70.23069,,
1,-33.915695,18.418444,
3,0,,
2,1.762,-8.312,-4.711
0,193.1875,61.640625,11.46875
4,72.70795,,
1,-33.915695,18.418444,
3,0,,
2,0.651,-9.308,-4.711
0,189.53125,62.03125,8.046875
4,70.976875,,
1,-33.915695,18.418444,
3,0,,
2,1.34,-9.308,-4.328
0,185.60938,62.765625,4.515625
4,63.540554,,
1,-33.915695,18.418444,
3,0,,
2,1.532,-8.772,-4.405
0,185.07813,62.75,4.078125
4,73.255135,,
3,0,,
2,0.383,-9.079,-5.018
1,-33.915695,18.418444,
0,187.15625,61.796875,5.953125
4,69.04639,,
1,-33.915695,18.418444,
3,0,,
2,1.072,-9.04,-4.673
0,187.15625,61.953125,5.859375
4,72.462585,,
1,-33.915695,18.418444,
3,0,,
2,0.919,-9.002,-4.865
0,187.6875,61.234375,6.53125
4,63.232143,,
1,-33.915695,18.418444,
3,0,,
2,0.498,-8.849,-4.826
0,187.92188,61.59375,6.875
4,65.48596,,
1,-33.915695,18.418444,
3,0,,
2,0.957,-9.155,-4.328
0,189.42188,61.640625,8.25
4,63.563503,,
1,-33.915695,18.418444,
3,0,,
2,1.034,-8.887,-4.52
0,187.09375,63.0625,5.921875
4,65.807465,,
1,-33.915695,18.418444,
3,0,,
2,0.651,-9.079,-4.099
0,187.21875,67.34375,6.203125
4,70.2956,,
1,-33.915695,18.418444,
3,0,,
2,1.225,-9.232,-3.869
0,191.5,61.09375,9.8125
4,64.1127,,
1,-33.915695,18.418444,
3,0,,
2,0.804,-9.079,-5.095
0,191.875,60.8125,10.4375
4,66.668495,,
1,-33.915695,18.418444,
3,0,,
2,1.608,-8.696,-4.635
0,191.45313,62.28125,9.703125
4,66.49128,,
1,-33.915695,18.418444,
3,0,,
2,1.379,-9.462,-4.597
0,198.51563,55.59375,15.578125
4,65.27613,,
1,-33.915695,18.418444,
3,0,,
2,3.715,-6.972,-5.095
0,195.45313,62.296875,15.34375
4,72.068115,,
1,-33.915695,18.418444,
3,0,,
2,1.608,-10.228,-5.746
0,198.60938,63.921875,15.703125
4,67.06888,,
1,-33.915695,18.418444,
3,0,,
2,2.566,-8.619,-3.792
0,213.70313,42.828125,24.671875
4,65.12142,,
1,-33.915695,18.418444,
3,0,,
2,4.06,-5.133,-1.8
0,204.29688,55.828125,19.296875
4,68.2529,,
1,-33.915695,18.418444,
3,0,,
2,4.213,-9.807,-11.377
0,198.6875,61.546875,13.96875
4,65.42772,,
1,-33.915695,18.418444,
3,0,,
2,1.034,-5.631,-4.367
0,193.64063,61.578125,8.59375
4,67.8978,,
1,-33.915695,18.418444,
3,0,,
2,3.102,-4.597,-1.57
0,205.40625,56.03125,19.890625
4,63.39319,,
1,-33.915695,18.418444,
3,0,,
2,4.175,-7.278,-3.447
0,205.75,58.40625,19.671875
4,65.21841,,
1,-33.915695,18.418444,
3,0,,
2,2.413,-9.883,-4.75
0,210.98438,46.90625,22.265625
4,61.679077,,
1,-33.915695,18.418444,
3,0,,
2,4.099,-7.393,-2.451
0,211.125,50.296875,23.859375
4,62.192646,,
1,-33.915695,18.418444,
3,0,,
2,2.604,-7.316,-7.087
0,205.26563,53.9375,20.28125
4,65.90396,,
3,0,,
2,3.754,-6.167,-4.52
1,-33.915695,18.418444,
0,193.29688,63.9375,10.84375
4,63.19277,,
1,-33.915695,18.418444,
3,0,,
2,2.26,-9.538,-6.55
0,207.57813,50.59375,23.609375
4,64.90458,,
1,-33.915695,18.418444,
3,0,,
2,1.072,-10.266,-4.75
0,201.95313,47.3125,17.90625
4,64.47691,,
1,-33.915695,18.418444,
3,0,,
2,6.244,-9.921,-5.439
0,195.8125,60.328125,14.5
4,64.83575,,
1,-33.915695,18.418444,
3,0,,
2,3.409,-6.512,-6.55
0,192.23438,59.546875,11.046875
4,68.836624,,
1,-33.915695,18.418444,
3,0,,
2,3.409,-8.619,-4.443
0,193.79688,63.4375,12.25
4,63.557453,,
1,-33.915695,18.418444,
3,0,,
2,1.877,-9.308,-5.401
0,202.29688,56.65625,19.25
4,62.785805,,
1,-33.915695,18.418444,
3,0,,
2,2.643,-8.964,-3.677
0,191.67188,62.453125,9.71875
4,65.688644,,
1,-33.915695,18.418444,
3,0,,
2,2.26,-8.159,-4.252
0,194.90625,63.703125,12
4,66.35093,,
1,-33.915695,18.418444,
3,0,,
2,1.264,-9.768,-4.367
0,202.125,52.09375,16.90625
4,66.32128,,
1,-33.915695,18.418444,
3,0,,
2,3.524,-9.807,-3.179
0,193.1875,64.28125,9.84375
4,66.83463,,
1,-33.915695,18.418444,
3,0,,
2,2.528,-8.849,-4.711
0,194.375,59.28125,11.359375
4,65.40174,,
1,-33.915695,18.418444,
3,0,,
2,1.494,-8.964,-4.788
0,183.29688,66.25,1.96875
4,70.32918,,
1,-33.915695,18.418444,
3,0,,
2,0.804,-8.772,-5.095
0,192.5,54.671875,10.21875
4,67.388855,,
1,-33.915695,18.418444,
3,0,,
2,1.723,-8.657,-3.102
0,190.71875,54.625,8.3125
4,65.99832,,
1,-33.915695,18.418444,
3,0,,
2,0.804,-8.274,-5.631
0,185.75,67.8125,3.953125
4,64.316956,,
1,-33.915695,18.418444,
3,0,,
2,-0.114,-10.19,-5.286
0,196.23438,57.578125,13.109375
4,64.59338,,
1,-33.915695,18.418444,
3,0,,
2,-0.076,-9.308,-2.719
0,195.3125,61.421875,11.375
4,66.252884,,
1,-33.915695,18.418444,
3,0,,
2,2.03,-8.696,-7.853
0,183.90625,59.46875,0.375
4,69.71917,,
1,-33.915695,18.418444,
3,0,,
2,2.451,-8.849,-2.145
0,193.9375,67.03125,10.421875
4,62.281197,,
1,-33.915695,18.418444,
3,0,,
2,1.494,-9.921,-4.06
0,196.0625,55.03125,10.015625
4,67.270744,,
1,-33.915695,18.418444,
3,0,,
2,3.026,-6.933,-1.494
0,187.57813,65.734375,2.765625
4,68.37412,,
1,-33.915695,18.418444,
3,0,,
2,5.439,-7.47,-3.83
0,195.0625,64.3125,10.265625
4,65.77353,,
1,-33.915695,18.418444,
3,0,,
2,0.383,-8.542,-4.903
0,199.26563,56.6875,13.109375
4,70.17146,,
1,-33.915695,18.418444,
3,0,,
2,2.221,-9.5,-5.669
0,185.125,64.265625,0.6875
4,66.860886,,
1,-33.915695,18.418444,
3,0,,
2,2.566,-9.653,-3.447
0,196.40625,64.46875,12.4375
4,63.72396,,
1,-33.915695,18.418444,
3,0,,
2,-1.11,-9.155,-4.099
0,194.15625,61.4375,10.234375
4,66.09832,,
1,-33.915695,18.418444,
3,0,,
2,1.11,-6.78,-6.359
0,186.375,60.75,2.984375
4,65.02434,,
1,-33.915695,18.418444,
3,0,,
2,-0.804,-11.913,-6.014
0,196.875,57.734375,12.828125
4,66.42066,,
1,-33.915695,18.418444,
3,0,,
2,1.877,-10.19,-3.179
0,185.90625,65.109375,3.296875
4,64.92711,,
1,-33.915695,18.418444,
3,0,,
2,2.873,-7.47,-4.826
0,189.98438,69.546875,6.453125
4,66.5436,,
1,-33.915695,18.418444,
3,0,,
2,1.877,-8.81,-5.478
0,196.10938,53.09375,10.484375
4,67.51926,,
1,-33.915695,18.418444,
3,0,,
2,1.723,-9.692,-7.7
0,183.48438,58.96875,0.328125
4,68.45323,,
1,-33.915695,18.418444,
3,0,,
2,1.417,-7.393,-2.451
0,195.53125,59.53125,11.953125
4,67.41481,,
1,-33.915695,18.418444,
3,0,,
2,0.114,-9.04,-3.601
0,196.67188,58.09375,13.203125
4,69.13781,,
1,-33.915695,18.418444,
3,0,,
2,1.8,-8.351,-5.095
0,189.82813,66.109375,6.625
4,68.81525,,
1,-33.915695,18.418444,
3,0,,
2,0.881,-9.04,-4.75
0,192.45313,53.96875,8.984375
4,67.52012,,
1,-33.915695,18.418444,
3,0,,
2,1.264,-9.462,-7.929
0,185.6875,61.140625,3.65625
4,67.926544,,
1,-33.915695,18.418444,
3,0,,
2,1.225,-7.776,-3.984
0,195.21875,53.828125,11.53125
4,67.09708,,
1,-33.915695,18.418444,
3,0,,
2,2.834,-8.619,-3.179
0,185.78125,62.140625,4.03125
4,66.03281,,
1,-33.915695,18.418444,
3,0,,
2,2.719,-8.389,-3.945
0,195.64063,60.796875,13.734375
4,64.19885,,
1,-33.915695,18.418444,
3,0,,
2,1.417,-8.81,-4.597
0,192.25,60.84375,10.671875
4,70.061935,,
1,-33.915695,18.418444,
3,0,,
2,1.187,-9.079,-4.826
0,189.34375,62.296875,7.578125
4,69.04388,,
1,-33.915695,18.418444,
3,0,,
2,1.34,-8.964,-4.482
0,191.78125,61.171875,9.75
4,65.245895,,
1,-33.915695,18.418444,
3,0,,
2,1.877,-8.887,-4.635
0,190.09375,61.90625,7.9375
4,67.06156,,
1,-33.915695,18.418444,
3,0,,
2,1.187,-9.232,-4.405
0,193.1875,57.734375,11
4,65.83788,,
1,-33.915695,18.418444,
3,0,,
2,1.953,-8.351,-5.861
0,189.01563,62.328125,7.359375
4,66.31251,,
1,-33.915695,18.418444,
3,0,,
2,0.919,-8.964,-4.865
0,194.3125,59.59375,12.328125
4,67.169586,,
1,-33.915695,18.418444,
3,0,,
2,2.221,-8.849,-4.635
0,195.76563,61.15625,13.703125
4,67.436844,,
1,-33.915695,18.418444,
3,0,,
2,2.183,-8.925,-4.252
0,194.125,62.9375,12.359375
4,67.337456,,
1,-33.915695,18.418444,
3,0,,
2,1.953,-9.117,-3.562
0,200.78125,60.640625,18.109375
4,65.363914,,
1,-33.915695,18.418444,
3,0,,
2,3.639,-8.964,-3.639
0,205.3125,54.90625,21.984375
4,67.63743,,
1,-33.915695,18.418444,
3,0,,
2,3.639,-8.849,-4.826
0,196.98438,64.734375,14.9375
4,65.310974,,
1,-33.915695,18.418444,
3,0,,
2,2.221,-9.308,-3.754
0,200.125,62.4375,17.78125
4,62.77392,,
1,-33.915695,18.418444,
3,0,,
2,3.294,-8.964,-3.486
0,202.70313,61.4375,20.125
4,71.15004,,
1,-33.915695,18.418444,
3,0,,
2,3.332,-8.925,-3.486
0,214.34375,55.5,29.890625
4,67.154236,,
1,-33.915695,18.418444,
3,0,,
2,6.129,-8.006,-2.068
0,207.59375,58.5,24.78125
4,67.77931,,
1,-33.915695,18.418444,
3,0,,
2,3.179,-9.002,-3.447
0,193.14063,63.046875,11.34375
4,67.72922,,
1,-33.915695,18.418444,
3,0,,
2,2.068,-9.079,-4.175
0,220.6875,51.75,36.109375
4,70.68664,,
1,-33.915695,18.418444,
3,0,,
2,5.937,-8.044,-1.915
0,219.875,52,35.40625
4,67.45116,,
1,-33.915695,18.418444,
3,0,,
2,5.861,-8.006,-2.145
0,215.79688,54.296875,31.453125
4,66.709045,,
1,-33.915695,18.418444,
3,0,,
2,5.401,-8.236,-2.604
0,223.15625,50.34375,38.09375
4,67.58783,,
1,-33.915695,18.418444,
3,0,,
2,6.589,-7.814,-1.494
0,220.35938,51.84375,35.921875
4,67.05949,,
1,-33.915695,18.418444,
3,0,,
2,5.554,-8.121,-2.298
0,212.625,55.78125,28.671875
4,66.27624,,
1,-33.915695,18.418444,
3,0,,
2,4.367,-8.619,-3.371
0,203.0625,60.8125,20.078125
4,67.20325,,
1,-33.915695,18.418444,
3,0,,
2,3.83,-8.772,-3.562
0,202.15625,61.046875,19.453125
4,65.57865,,
1,-33.915695,18.418444,
3,0,,
2,3.217,-8.925,-3.486
0,194.21875,63.546875,12.359375
4,68.5602,,
1,-33.915695,18.418444,
3,0,,
2,1.685,-9.079,-4.29
0,186.95313,61.328125,5.1875
4,66.54462,,
1,-33.915695,18.418444,
3,0,,
2,1.11,-9.194,-4.405
0,203.35938,57.015625,20.109375
4,65.468285,,
1,-33.915695,18.418444,
3,0,,
2,4.137,-8.657,-3.026
0,221.96875,51.75,36.890625
4,66.57003,,
1,-33.915695,18.418444,
3,0,,
2,6.435,-7.814,-1.11
0,221.60938,52.015625,36.875
4,65.33908,,
1,-33.915695,18.418444,
3,0,,
2,5.976,-8.083,-1.34
0,205.4375,60.453125,22.546875
4,65.94073,,
1,-33.915695,18.418444,
3,0,,
2,2.988,-8.964,-3.562
0,189.45313,60.59375,7.421875
4,64.97938,,
1,-33.915695,18.418444,
3,0,,
2,1.225,-9.232,-4.98
0,188.35938,63.25,6.6875
4,66.35805,,
1,-33.915695,18.418444,
3,0,,
2,1.264,-8.849,-4.75
0,197.375,58.734375,14.6875
4,67.29218,,
1,-33.915695,18.418444,
3,0,,
2,2.911,-9.079,-4.137
0,191.71875,63.28125,9.53125
4,64.62308,,
1,-33.915695,18.418444,
3,0,,
2,1.838,-8.964,-4.022
0,188.70313,64.59375,7.15625
4,65.31476,,
1,-33.915695,18.418444,
3,0,,
2,1.264,-9.079,-4.137
0,189.53125,64.296875,7.96875
4,68.07783,,
1,-33.915695,18.418444,
3,0,,
2,1.264,-9.232,-3.715
0,194.5,53.71875,11.90625
4,66.46111,,
1,-33.915695,18.418444,
3,0,,
2,2.106,-8.542,-4.252
0,188.75,65.25,7.28125
4,67.34521,,
1,-33.915695,18.418444,
3,0,,
2,0.306,-9.27,-3.754
0,191.1875,59.03125,9.328125
4,70.73818,,
1,-33.915695,18.418444,
3,0,,
2,2.528,-8.657,-5.133
0,194.8125,59.203125,12.59375
4,69.32353,,
1,-33.915695,18.418444,
3,0,,
2,1.992,-8.696,-4.558
0,184.5625,63.984375,3.40625
4,68.32567,,
1,-33.915695,18.418444,
3,0,,
2,-0.421,-9.462,-4.788
0,180.5625,64.8125,-0.53125
4,69.19794,,
1,-33.915695,18.418444,
3,0,,
2,0.996,-9.079,-4.328
0,188.0625,56.75,6.28125
4,74.17777,,
1,-33.915695,18.418444,
3,0,,
2,1.11,-8.427,-5.746
0,189.9375,66.671875,8.515625
4,65.1676,,
1,-33.915695,18.418444,
3,0,,
2,-0.153,-9.232,-3.102
0,190.51563,56.703125,8.21875
4,65.7659,,
1,-33.915695,18.418444,
3,0,,
2,3.102,-8.466,-2.988
0,184.09375,62.78125,2.96875
4,68.64729,,
1,-33.915695,18.418444,
3,0,,
2,2.336,-8.696,-4.52
0,195.46875,63.171875,14.046875
4,68.52235,,
1,-33.915695,18.418444,
3,0,,
2,2.068,-8.772,-4.482
0,196.82813,55.875,14.265625
4,69.76555,,
1,-33.915695,18.418444,
3,0,,
2,2.566,-7.7,-4.903
0,203.07813,60.5625,20.328125
4,65.02542,,
1,-33.915695,18.418444,
3,0,,
2,4.099,-9.002,-3.294
0,208.59375,57.359375,25.453125
4,65.447365,,
1,-33.915695,18.418444,
3,0,,
2,3.869,-8.81,-3.524
0,208.17188,58.25,25.1875
4,66.370384,,
1,-33.915695,18.418444,
3,0,,
2,4.252,-8.696,-3.179
0,200.21875,61.3125,18.09375
4,68.9947,,
1,-33.915695,18.418444,
3,0,,
2,3.064,-8.696,-3.715
0,198.42188,61.4375,16.09375
4,69.605705,,
1,-33.915695,18.418444,
3,0,,
2,2.988,-8.81,-4.06
0,197.71875,60.640625,15.359375
4,71.649895,,
1,-33.915695,18.418444,
3,0,,
2,2.604,-8.849,-4.252
0,195.625,61.578125,13.53125
4,68.71593,,
1,-33.915695,18.418444,
3,0,,
2,2.183,-8.964,-4.29
0,198.89063,61.390625,16.34375
4,68.59383,,
1,-33.915695,18.418444,
3,0,,
2,2.643,-9.04,-3.601
0,198.07813,62.171875,15.9375
4,66.426,,
1,-33.915695,18.418444,
3,0,,
2,2.873,-8.925,-3.984
0,198.09375,61.015625,16
4,65.749016,,
1,-33.915695,18.418444,
3,0,,
2,2.566,-9.002,-4.29
0,195.57813,62.140625,13.578125
4,68.838066,,
1,-33.915695,18.418444,
3,0,,
2,2.451,-9.002,-3.984
0,190.42188,64.109375,8.890625
4,67.73161,,
1,-33.915695,18.418444,
3,0,,
2,1.494,-8.542,-3.945
0,188.1875,66.328125,6.78125
4,69.65067,,
1,-33.915695,18.418444,
3,0,,
2,1.187,-9.232,-4.328
0,189.84375,62.5,8.3125
4,67.90126,,
1,-33.915695,18.418444,
3,0,,
2,1.072,-8.964,-4.635
0,188.26563,62.28125,6.875
4,69.23396,,
1,-33.915695,18.418444,
3,0,,
2,0.919,-9.155,-4.558
0,188.0625,61.015625,6.6875
4,67.99034,,
1,-33.915695,18.418444,
3,0,,
2,1.187,-8.198,-4.328
0,192.09375,58.671875,9.921875
4,66.34075,,
1,-33.915695,18.418444,
3,0,,
2,1.34,-8.312,-5.707
0,189.01563,61.578125,7.296875
4,68.20064,,
1,-33.915695,18.418444,
3,0,,
2,1.953,-9.232,-4.52
0,189.89063,61.5,8.15625
4,71.27416,,
1,-33.915695,18.418444,
3,0,,
2,1.417,-8.81,-4.367
4,68.2082,,
0,190.10938,63.375,8.5625
1,-33.915695,18.418444,
3,0,,
2,1.723,-9.155,-4.367
0,186.53125,64.265625,5.234375
4,70.28977,,
1,-33.915695,18.418444,
3,0,,
2,0.612,-9.079,-4.443
0,182.375,65.125,0.703125
4,68.376724,,
1,-33.915695,18.418444,
3,0,,
2,0.957,-9.04,-4.711
0,196.20313,59.46875,12.890625
4,66.581345,,
1,-33.915695,18.418444,
3,0,,
2,2.451,-9.04,-4.137
0,194.625,59.71875,11.25
4,69.08532,,
1,-33.915695,18.418444,
3,0,,
2,1.915,-8.81,-4.482
0,185.73438,62.859375,3.34375
4,71.65473,,
1,-33.915695,18.418444,
3,0,,
2,0.574,-9.04,-4.558
0,189.51563,61.6875,6.625
4,67.63119,,
1,-33.915695,18.418444,
3,0,,
2,1.455,-9.04,-4.558
0,192.875,59.78125,9.53125
4,67.70719,,
1,-33.915695,18.418444,
3,0,,
2,1.877,-8.849,-4.826
0,193.48438,55.359375,9.96875
4,72.34606,,
1,-33.915695,18.418444,
3,0,,
2,1.57,-8.581,-4.443
0,187.375,63.75,5.453125
4,70.10431,,
1,-33.915695,18.418444,
3,0,,
2,0.459,-9.155,-4.213
0,185.39063,63.703125,3.53125
4,71.2429,,
1,-33.915695,18.418444,
3,0,,
2,0.574,-9.27,-4.482
0,196.9375,52.21875,13.125
4,71.051094,,
1,-33.915695,18.418444,
3,0,,
2,2.758,-7.7,-5.554
0,186.75,62.6875,5.484375
4,68.68732,,
1,-33.915695,18.418444,
3,0,,
2,1.57,-9.27,-4.06
0,184.46875,65.0625,3.375
4,67.73842,,
1,-33.915695,18.418444,
3,0,,
2,1.494,-8.696,-4.788
0,192.53125,62.375,11.015625
4,66.810715,,
1,-33.915695,18.418444,
3,0,,
2,0.306,-9.117,-3.984
0,177.20313,66.921875,-3.78125
4,66.58405,,
1,-33.915695,18.418444,
3,0,,
2,0.727,-8.81,-4.711
0,191.90625,57.390625,9.140625
4,67.53289,,
1,-33.915695,18.418444,
3,0,,
2,1.8,-8.504,-5.133
0,190.78125,62.953125,7.921875
4,71.956985,,
1,-33.915695,18.418444,
3,0,,
2,0.996,-9.462,-4.022
0,186.17188,64.171875,3.28125
4,67.556854,,
1,-33.915695,18.418444,
3,0,,
2,1.34,-8.734,-4.941
0,193.3125,61.1875,9.46875
4,67.8879,,
1,-33.915695,18.418444,
3,0,,
2,0.996,-10.113,-4.06
0,193,61.53125,9.671875
4,69.31289,,
1,-33.915695,18.418444,
3,0,,
2,2.336,-8.542,-5.286
0,197.10938,57.21875,13.015625
4,66.33598,,
1,-33.915695,18.418444,
3,0,,
2,2.949,-8.312,-4.597
0,188.15625,65.703125,5.609375
4,66.688225,,
1,-33.915695,18.418444,
3,0,,
2,0.114,-9.998,-4.597
0,187.17188,54.703125,4.515625
4,73.356026,,
1,-33.915695,18.418444,
3,0,,
2,2.26,-9.385,-3.792
0,186,64.015625,2.625
4,66.8725,,
1,-33.915695,18.418444,
3,0,,
2,2.796,-7.47,-4.941
0,194.9375,66.28125,11.8125
4,66.948555,,
1,-33.915695,18.418444,
3,0,,
2,0.344,-8.81,-6.359
0,192.8125,50.390625,9.359375
4,67.68906,,
1,-33.915695,18.418444,
3,0,,
2,3.715,-7.01,-1.877
0,187.5625,62.78125,5
4,65.793236,,
1,-33.915695,18.418444,
3,0,,
2,2.068,-6.972,-5.899
0,184.90625,61.125,2.484375
4,66.37688,,
1,-33.915695,18.418444,
3,0,,
2,-1.723,-10.305,-5.669
0,192.6875,57.0625,9.71875
4,65.55424,,
1,-33.915695,18.418444,
3,0,,
2,1.608,-10.228,-3.486
0,197.04688,56.65625,13.484375
4,65.289085,,
1,-33.915695,18.418444,
3,0,,
2,2.068,-7.623,-4.711
